,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Dutch Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Dutch Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Dutch Republic,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,
Dutch settlements,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Dutchy of Benevento,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Duwamish,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dvaravati,,,,,,X,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyo'xaiya-o-Ivo'tsa (Okaina),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dyungungoo (Gubbi Gubbi),,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Dâw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Dënéndeh,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
E'ñepá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
East Francia,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
East Getaes,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Java,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
East Prussia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Eastern Masurian culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Mono/Monache,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eastern Nehântick,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eastern North Amercian hunter-gatherers,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Eastern Pomo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eastern Roman Empire,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Shawnee (Oklahoma),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eastern Shoshone,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Ecuana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eduria (Taiwano),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eeyou Istchee,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X
El Pom Wintu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Electoral Hesse,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Emberá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Emberá Chamí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Emberá Dobidá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Emberá Katío/Eyabida,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Emberá/Eperara/Épera,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Emirate of Bin Shal'an,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Emirate of Córdoba,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emirate of Sicily,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Emirate of Tiflis,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Emirate of the White Sheep Turks,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Empire of Ghana,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire of Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,
Enawenê-nawê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Enenlhet-Toba,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Enets,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
England,,,,,,,,,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,
England and Ireland,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
English territory,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Enlhet,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Enlhet-Enenlhet,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eno,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Entiat,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Envuga (Kawahib),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Enxet,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eora,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Eperara Siapidara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Erie,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X,X
Eritrea (Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Esketemculeucw (Esk'etemc),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Esse ejja,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Esselen,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Essequibo,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Essex,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,X,X,X
Ests,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,,X,X,X,X,X
Ethiopia (Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Ethiopian HIghland Peoples,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expansionist Kingdom of Merina,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Eyak,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Eyaq,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,
Fante,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Far Eastern SSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,
Fatimid Caliphate,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Fernandeño Tataviam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Fezzan (Frech Lybia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Finnmark,,,,,,,,,,,,,,,,,,,X,X,X,,,X,,,,,,,,,,,,
Finno-Ugric taiga hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Finns,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Samori Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
Fivizzano,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Flathead,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Florence,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Florida (Spain),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Fourche Maline Culture,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fox,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
France,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Franche-Comté,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,
Frankish Kingdom,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franks,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Cameroons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
French Equatorial Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
French Indo-China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
French Indochina,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,
French Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
French West Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,
Frisians,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulani Empire,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Funan,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funj,,,,,,,,,,,,,,,,X,X,,,,,,X,X,,,,,,,,,,,,
Futa Jalon,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Futa Toro,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Féénemɨnaa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gabalbara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,X,X,X,X,X
Gadubanud,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gagudju,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gamberre,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
"Gambia, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Gananggalinda,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ganggalida,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gangulu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Garawa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Garingbal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Garrochambas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Garífuna,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gaya,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gayiri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Geats,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geawegal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Geneva,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,
Genoa,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Georgia,,,,,,,,,,X,,X,X,X,X,X,X,,,,,,,,,,,X,X,X,,,,X,X,X
Georgian Kingdom,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gepids,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
German E. Africa (Tanganyika),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
German Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
German South-West Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,X,X,X
Germany (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Germany (Soviet),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Germany (UK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Germany (USA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Ghana,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,X,X,,,X,X,X,X
Gharra,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Ghaznavid Emirate,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Gilbert and Elice Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Giraiwurung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gitanyow Lax’yip,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gitga’at,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gitga’at Lax Yuup,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gitxaała,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gitx̱san Lax̱yip,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Giya,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Glades Culture,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goa,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Goghtn,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Golconda,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Gold Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,,,,
Gold Coast (GB),,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Golden Horde,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Golkonda,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Gondwana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Goodall Focus,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gooniyandi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gooty,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Goreng,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Goryeo,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Goshute,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Goths,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Granada,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Grand Duchy of Hesse,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Grand Duchy of Moscow,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,
Graton Rancheria,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Great Khanate,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Great Moravia,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Zimbabwe,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Greenland,,,,,X,,,,,,,,,,,,,X,X,,,,,,,X,X,,,,,,X,X,X,X
Grenada,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,X,X,X,X,X,,X,X,X
Griqualand West,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Gros Ventre,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
Guacata,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guachichil,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guachichiles,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Guachimis,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,,X,X,X
Guahibo/Hiwi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guajajara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Guamar / Pecchichitane,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Guamares,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guanaca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guanahatabey,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guanahatabeyes,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Guanches,X,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Guane,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guaná,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guarasugwe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guarayo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guarijío/Guarijó,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guasaves/Tamazulas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Guató,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guaycura,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guenoa-Muinanes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gugu-Badhun,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Guiana,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,X
Guinea-Bissau (Portugal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,
Gujarat,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gulidjan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gumbainggir,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Guna Yala,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guna of Madugandí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Guna of Wargandí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gunadule (Kuna-Tule),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gunbalang,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gunditjmara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gundungurra,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gungabula,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gunggari,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gungurugoni,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gunibidji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gunindiri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gunu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gunwinggu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Gupta Empire,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gureng Gureng,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gurindji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Guringai,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Gurjara Pratihara,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guta,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guugu-Yimidhirr,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Guwa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Guwinmal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Guyana (Netherlands),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Gwa’Sala-‘Nakwaxda’xw,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gwich'in Nành,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Gwitch'in Settlement Region,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Göktürks,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Günün a atük (Günün a küna),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ha Shuta Enima (Mazateco),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Habsburg Netherlands,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Hach Winik (Lacandon),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hadramaut,X,X,X,X,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,
Hafsid Caliphate,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Haida Gwaii,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Hainan,X,X,X,X,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,X,X
Halalt,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Halíti,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hamburg,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Hammonassets,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Han,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Zhao,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanis Coos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hanover,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Harakbut,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Harapunchai,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Harer (Egypt),,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Haripunjaya,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatteras,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hausa States,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,
Havasu Baaja (Havasupai),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Havasupai,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Heiltsuk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hejaz,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,
Helvetic Republic,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Henîa-Kamiare,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Heruli,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hesquiaht,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hi Ui (Pame/Chichimeco Jonaz),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hia-Ced O'odham,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hiaitsiihi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Himyarite Kingdom,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindu Kingdoms,,,,,,,,,,,X,,,,,,,,,,X,X,,,,,,,,,,,,,,
Hindu Shahis,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindu kingdoms,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hindu states,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispaniola (Spain),,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Hitchiti,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Hixkaryana,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ho-de-no-sau-nee-ga (Haudenosaunee),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hohenzollern,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Hohokam,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Hokuzan,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Holikachuk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Holstein,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
